instance rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
katsuran4 25 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuran4 26 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 27 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 28 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuran4 29 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuranh4 0 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuranh4 1 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuranh4 2 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 3 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuranh4 4 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuranh4 5 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 6 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 7 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 8 static 0.03 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuranh4 9 static 0.03 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuranh4 10 static 0.03 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuranh4 11 static 0.03 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuranh4 12 static 0.03 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 13 static 0.03 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuranh4 14 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 15 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuranh4 16 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuranh4 17 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuranh4 18 static 0.03 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 19 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 20 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuranh4 21 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuranh4 22 static 0.03 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuranh4 23 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuranh4 24 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 25 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuranh4 26 static 0.03 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuranh4 27 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 28 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuranh4 29 static 0.03 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran5 0 static 0.07 0.00 0.00 0.02 0.04 13 168 5 31 18
katsuran5 1 static 0.08 0.00 0.00 0.01 0.05 13 168 5 31 18
